year,julian-day,standard-time,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,Tsoil_C,D_kPa,GW,E-MD,P-PD,P-MD,leaftemp,leaf-air-temp-diff
2023,222,3,0.0,0.0,1.276333,33.86655,29.79000000000002,3.574980159638645,,,,,32.8,-1.0665499999999994
2023,222,4,0.0,0.0,1.332333,33.02892,28.910000000000025,3.2419209289479527,,,,,31.64375,-1.3851699999999987
2023,222,5,0.0,0.0,1.935,31.80928,28.180000000000007,2.978721439331153,,,,,30.64,-1.1692800000000005
2023,222,6,2.1881838074398248,6.32,1.548333,30.46262,27.610000000000017,2.5758134065237965,,,,,29.05125,-1.4113700000000016
2023,222,7,64.55142231947484,0.0,2.212333,31.21277,27.920000000000016,2.963436489373799,,,,,29.005,-2.20777
2023,222,8,155.36105032822755,0.0,2.364333,31.91491,29.100000000000023,3.160281456558281,142.85,4.6603435157008555,,,31.0975,-0.8174099999999989
2023,222,9,260.9409190371991,0.0,1.513667,32.94185,30.58000000000004,3.4353319628776395,,,,,32.475,-0.4668500000000009
2023,222,10,271.33479212253826,0.0,1.383633,33.92282,32.27000000000004,3.7301940736421018,,,,,32.65375,-1.2690699999999993
2023,222,11,323.3041575492341,0.0,0.1736333,34.49435,34.10000000000002,3.902250553156344,,,,,33.45125,-1.0430999999999955
2023,222,12,413.5667396061269,6.32,0.5712666,35.84628,35.900000000000034,4.333125404279631,,,,,34.40625,-1.4400300000000001
2023,222,13,399.890590809628,0.0,0.7483666,36.75212,37.57000000000005,4.643306300625868,,,,,34.66625,-2.08587
2023,222,14,390.59080962800874,0.0,0.7322,38.09398,39.06,5.162830594125878,,,,,36.45,-1.643979999999999
2023,222,15,316.19256017505467,0.0,1.858767,38.67694,40.170000000000016,5.423332094248274,,,,,37.31,-1.3669399999999996
2023,222,16,245.0765864332604,0.0,0.8380666,38.64302,40.80000000000001,5.466050485365895,110.86666666666666,5.780456458834449,,,38.28875,-0.35426999999999964
2023,222,17,155.9080962800875,0.0,1.212033,39.10179,40.920000000000016,5.657439222319608,,,,,37.975,-1.1267899999999997
2023,222,18,85.33916849015317,6.32,0.6559666,38.91976,40.59000000000003,5.577451202221862,,,,,37.61375,-1.3060099999999935
2023,222,19,14.22319474835886,0.0,2.252333,38.05074,39.879999999999995,5.2840931112535126,,,,,36.23875,-1.8119899999999944
2023,222,20,0.0,0.0,1.335,37.00354,38.21000000000003,4.892212958062815,,,,,35.2275,-1.7760400000000018
2023,222,21,0.0,0.0,3.689667,36.70008,36.54000000000002,4.911540385544742,,,,,35.89,-0.8100799999999992
2023,222,22,0.0,0.0,2.759,34.94967,35.07000000000005,4.264826138630864,,,,,34.714999999999996,-0.23467000000000127
2023,222,23,0.0,0.0,2.705667,33.75139,33.650000000000034,3.864143761281707,,,,,33.2425,-0.508890000000001
2023,223,0,0.0,3.16,2.607,33.04178,32.32000000000005,3.661879189601815,,,,,32.4625,-0.5792800000000042
2023,223,1,0.0,0.0,2.569667,32.15496,31.140000000000043,3.400605861012779,,,,,31.2725,-0.8824600000000018
2023,223,2,0.0,0.0,1.812333,31.49747,30.0,3.18499994994673,,,,,30.455,-1.0424700000000016
2023,223,3,0.0,0.0,0.1193667,30.38128,28.930000000000007,2.8338492583827004,,,0.6486666666666667,,29.27625,-1.1050299999999993
2023,223,4,0.0,0.0,1.143,29.88192,27.99000000000001,2.724307969824698,,,,,27.85125,-2.0306700000000006
2023,223,5,0.0,0.0,0.0,29.00524,27.180000000000007,2.4732047152087775,,,,,26.49125,-2.5139899999999997
2023,223,6,2.1881838074398248,3.16,0.8656666,28.92389,26.52000000000004,2.4761958518097673,,,,,26.15625,-2.76764
2023,223,7,28.44638949671772,0.0,0.0,28.31157,26.760000000000048,2.1973366107592076,,,,,25.1225,-3.189070000000001
2023,223,8,87.527352297593,0.0,0.3323666,31.23763,27.980000000000015,2.991720315943104,,,,,28.2225,-3.015129999999999
2023,223,9,152.6258205689278,0.0,0.9894333,32.36659,29.470000000000027,3.3437055550785133,,,,,29.59125,-2.7753400000000035
2023,223,10,258.20568927789935,0.0,1.692333,32.80352,31.120000000000005,3.5144912174171847,,,,,32.57125,-0.23226999999999975
2023,223,11,279.5404814004376,0.0,1.473667,34.27147,32.860000000000014,3.940625946834998,,,,,33.0,-1.2714700000000008
