year,julian-day,standard-time,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,Tsoil_C,D_kPa,GW,E-MD,P-PD,P-MD,leaftemp,leaf-air-temp-diff
2023,252,3,0.0,0.0,0.0,29.74409,26.65000000000003,2.939386653239985,,,,,26.98888888888889,-2.755201111111109
2023,252,4,0.0,0.0,0.0,27.47448,25.83000000000004,2.4591403754084165,,,,,24.702222222222222,-2.772257777777778
2023,252,5,0.0,0.0,0.0,26.74539,25.05000000000001,2.2615504025125923,,,,,23.641111111111112,-3.1042788888888886
2023,252,6,0.0,6.32,0.0,26.43164,24.350000000000023,2.2595766177807866,,,,,23.90222222222222,-2.5294177777777804
2023,252,7,53.61050328227571,0.0,0.0,29.40564,24.260000000000048,2.952159315004913,,,,,24.721111111111114,-4.6845288888888845
2023,252,8,148.24945295404814,0.0,0.9589999,32.38781,25.730000000000015,3.820945524082659,,,,,30.616666666666667,-1.7711433333333346
2023,252,9,236.32385120350108,0.0,1.495,33.78169,27.69,4.201223302823995,,,,,33.25666666666667,-0.5250233333333298
2023,252,10,311.26914660831505,0.0,1.564333,36.13503,29.910000000000025,5.000957042201832,,,,,36.507777777777775,0.372747777777775
2023,252,11,358.3150984682713,0.0,1.3281,37.90845,32.370000000000005,5.609312211285266,,,,,38.59111111111111,0.6826611111111092
2023,252,12,379.6498905908096,6.32,1.426767,39.21191,34.80000000000001,6.126009544653938,,,,,40.20666666666667,0.9947566666666674
2023,252,13,372.53829321663017,0.0,2.044333,41.04583,37.0,6.887428191789148,,,,,41.41222222222222,0.3663922222222169
2023,252,14,336.980306345733,0.0,1.0903,42.63825,38.910000000000025,7.6118299082605185,,,,,42.38777777777778,-0.2504722222222213
2023,252,15,277.3522975929978,0.0,1.2961,42.66083,40.34000000000003,7.675983654732629,,,,,42.57888888888889,-0.08194111111110658
2023,252,16,202.40700218818375,0.0,2.036333,43.13743,41.200000000000045,7.913819401736398,51.46666666666667,3.984539508300161,,,42.285555555555554,-0.8518744444444479
2023,252,17,119.8030634573304,0.0,1.793667,43.18376,41.44,7.912630516334322,,,,,40.955555555555556,-2.2282044444444438
2023,252,18,36.65207877461707,6.32,1.444333,42.30169,40.98000000000002,7.559963199206999,,,,,39.04333333333333,-3.2583566666666712
2023,252,19,0.5470459518599562,0.0,1.383,40.34853,39.35000000000002,6.643876507036653,,,,,35.12888888888889,-5.219641111111109
2023,252,20,0.0,0.0,1.169667,39.71317,37.54000000000002,6.397476912903904,,,,,36.599999999999994,-3.1131700000000038
2023,252,21,0.0,0.0,0.01756667,37.18769,35.83000000000004,5.390762745401284,,,,,34.534444444444446,-2.653245555555557
2023,252,22,0.0,0.0,0.3121333,36.2785,34.32000000000005,5.106239677850146,,,,,34.028888888888886,-2.249611111111115
2023,252,23,0.0,0.0,0.0,34.32185,32.860000000000014,4.41711167083373,,,,,29.89888888888889,-4.422961111111107
2023,253,0,0.0,6.32,0.08093333,32.38771,31.480000000000015,3.8144733712287526,,,,,28.893333333333334,-3.494376666666664
2023,253,1,0.0,0.0,0.0,31.15403,30.27000000000004,3.4504053028563133,,,,,27.485555555555557,-3.668474444444442
2023,253,2,0.0,0.0,0.0,29.45262,29.140000000000043,2.9692843471594124,,,,,26.018888888888892,-3.4337311111111077
2023,253,3,0.0,0.0,0.0,29.87279,28.100000000000023,3.054554041369699,,,,,27.024444444444445,-2.8483455555555537
2023,253,4,0.0,0.0,0.0,28.38853,27.180000000000007,2.623793696532009,,,,,26.08,-2.308530000000001
2023,253,5,0.0,0.0,0.0,28.1632,26.370000000000005,2.614857422678562,,,,,25.30777777777778,-2.85542222222222
2023,253,6,0.0,6.32,0.0,27.67063,25.660000000000025,2.447990697755938,,,,,24.57888888888889,-3.0917411111111086
2023,253,7,54.70459518599562,0.0,1.239,30.28431,25.54000000000002,3.0642481757745896,,,,,26.348888888888887,-3.935421111111115
2023,253,8,87.527352297593,0.0,0.221,30.79254,26.950000000000045,3.1149382561381573,,,,,27.62,-3.172539999999998
2023,253,9,168.4901531728665,0.0,2.071,34.95103,28.840000000000032,4.583056460474789,,,,,31.84333333333333,-3.1076966666666728
2023,253,10,314.5514223194748,0.0,1.855,36.81376,30.94,5.21191569563134,,,,,36.5,-0.31376000000000204
2023,253,11,365.9737417943107,0.0,1.884333,38.6133,33.04000000000002,5.874335492960497,,,,,39.64111111111111,1.027811111111106
2023,253,12,371.44420131291025,6.32,1.276333,39.9639,34.960000000000036,6.411381346291288,,,,,40.13666666666667,0.17276666666666785
2023,253,13,373.0853391684901,0.0,0.9324999,41.68506,36.620000000000005,7.1276350186548285,,,,,41.65888888888889,-0.026171111111111145
2023,253,14,358.3150984682713,0.0,1.462067,42.2996,37.85000000000002,7.473829619508873,,,,,42.33888888888889,0.03928888888889048
2023,253,15,125.27352297592996,0.0,2.217667,41.98601,38.69,7.334778622168989,,,,,40.766666666666666,-1.2193433333333346
2023,253,16,128.00875273522976,0.0,2.868333,41.63767,39.18000000000001,7.149370229468003,,,,,39.97222222222222,-1.6654477777777785
2023,253,17,57.98687089715536,0.0,3.591,39.9933,39.360000000000014,6.393463815486804,,,,,38.56666666666667,-1.4266333333333279
2023,253,18,19.14660831509847,6.32,1.631167,38.61715,39.07000000000005,5.874361117368688,,,,,36.30111111111111,-2.3160388888888903
2023,253,19,0.0,0.0,1.015633,37.15798,37.96000000000003,5.320801526811541,,,,,35.26777777777778,-1.8902022222222215
2023,253,20,0.0,0.0,0.09316667,36.34317,36.60000000000002,5.003879362234746,,,,,35.29666666666667,-1.0465033333333338
2023,253,21,0.0,0.0,0.5502333,35.88702,35.25,4.886001437326677,,,,,33.61888888888889,-2.26813111111111
2023,253,22,0.0,0.0,0.0,34.63564,34.06,4.41885876623186,,,,,32.23777777777778,-2.397862222222223
2023,253,23,0.0,0.0,1.0241,34.77375,32.879999999999995,4.503222911179128,,,,,32.44444444444444,-2.329305555555557
2023,254,0,0.0,6.32,1.489667,33.751,31.75,4.147023769616668,,,,,32.937777777777775,-0.8132222222222225
2023,254,1,0.0,0.0,1.340333,33.04523,30.760000000000048,3.9596454602809423,,,,,31.064444444444444,-1.9807855555555527
2023,254,2,0.0,0.0,0.3521333,32.05105,29.860000000000017,3.6430378946517985,,,,,30.893333333333334,-1.157716666666662
2023,254,3,0.0,0.0,1.257667,31.30541,29.05000000000001,3.434500677775696,,,,,30.075555555555557,-1.2298544444444417
2023,254,4,0.0,0.0,0.0,29.83899,28.33000000000004,3.0153418739136626,,,,,27.866666666666667,-1.9723233333333319
2023,254,5,0.0,0.0,0.1427333,29.72602,27.56,2.9758954670917324,,,,,26.826666666666668,-2.8993533333333303
